Gender,Major,Program,GPA
Other,B.Tech,CSE,4.59768896627901
Male,B.Tech,ECE,6.326371586066659
Female,B.Tech,CSE,5.170183137893516
Male,B.Tech,ECE,5.795060241387154
Male,MS,CND,7.882800698705092
Male,MS,CSE,9.063602257263222
Female,B.Tech,CHD,7.838153206794942
Male,B.Tech,CSE,6.63650547242082
Male,MS,CHD,7.909728786788713
Male,B.Tech,ECE,6.521293920477443
Other,B.Tech,ECE,7.231303172454722
Male,B.Tech,CSE,6.124411147627592
Male,B.Tech,ECE,7.842618614374186
Female,B.Tech,CSE,7.050783368229559
Male,B.Tech,CND,5.181888667859427
Male,B.Tech,CHD,7.3721826115411115
Male,MS,CSE,8.27250254456158
Female,MS,ECE,7.249728983763749
Female,MS,ECE,8.98785968750399
Male,PhD,CND,8.14493925603475
Male,B.Tech,CND,6.391511233833633
Male,MS,CHD,7.6454430247250444
Male,MS,ECE,7.62230617827157
Male,B.Tech,CSE,4.9665508705099315
Male,MS,ECE,8.334223688917211
Male,B.Tech,ECE,4.936395384336649
Male,B.Tech,ECE,6.6048045784381175
Male,PhD,CND,8.78848713893755
Female,B.Tech,CSE,7.478940909147288
Female,MS,ECE,8.195523395387477
Male,B.Tech,ECE,8.664654916196826
Male,MS,CND,7.607236358157387
Female,B.Tech,ECE,7.147906393823034
Female,MS,CSE,7.450555922840155
Male,B.Tech,CND,7.4154784495351524
Male,MS,CND,8.212886832331908
Other,B.Tech,CSE,6.745991851314869
Male,PhD,CHD,7.82631889364028
Male,B.Tech,CHD,6.038065914309609
Female,B.Tech,ECE,5.541502997848361
Male,PhD,ECE,7.8288261112957445
Female,PhD,CND,8.51493967585543
Male,B.Tech,CSE,8.923210649519554
Female,B.Tech,ECE,7.340926016728601
Female,B.Tech,ECE,5.382210814865653
Male,B.Tech,CSE,6.659549817651564
Male,PhD,ECE,8.394254811156722
Female,PhD,CSE,8.138555909997327
Male,B.Tech,ECE,6.618690920781341
Female,B.Tech,ECE,6.826724551758694
Male,MS,CHD,7.419424509571608
Male,MS,ECE,7.347383755850837
Female,MS,CHD,7.830876889619671
Female,PhD,CND,8.833014722947443
Male,B.Tech,CSE,8.65080939966325
Female,B.Tech,CHD,7.973873034627978
Male,B.Tech,ECE,6.216594574800084
Female,B.Tech,CSE,7.165448595099096
Male,B.Tech,CND,7.852438329644443
Male,B.Tech,ECE,8.162406684065498
Male,MS,CHD,7.46685270999949
Male,MS,CHD,8.206652396037816
Male,B.Tech,ECE,6.784288614128369
Female,B.Tech,ECE,7.48130520341363
Female,B.Tech,ECE,6.630942043329951
Male,PhD,CND,8.590884574457599
Male,PhD,CND,8.0923025370448
Male,B.Tech,CHD,6.914121967479935
Male,MS,CSE,8.299392448581122
Male,B.Tech,CHD,8.995057745887566
Female,B.Tech,ECE,7.651475543757375
Male,B.Tech,CSE,5.20557412176036
Male,B.Tech,ECE,7.137838053525546
Male,B.Tech,CSE,6.405543621846839
Male,B.Tech,CHD,6.546826027117702
Male,B.Tech,CSE,6.458327855766129
Female,B.Tech,CND,6.879595524978301
Male,B.Tech,ECE,6.346267697517652
Male,B.Tech,ECE,7.372897451565579
Female,B.Tech,ECE,5.976138963577569
Female,B.Tech,ECE,6.366542379783767
Male,B.Tech,ECE,6.7754186211138965
Female,B.Tech,CSE,8.587773338447965
Male,MS,ECE,7.637557092042086
Male,B.Tech,ECE,5.885230740118123
Male,B.Tech,ECE,7.272862057674827
Female,B.Tech,ECE,6.382141191040275
Other,B.Tech,ECE,6.8286079773995505
Male,B.Tech,ECE,8.342333495388221
Male,B.Tech,CSE,6.2275694627836895
Male,B.Tech,ECE,5.6307426452969755
Male,B.Tech,ECE,7.28802311601576
Female,B.Tech,CSE,6.866749180190566
Male,B.Tech,ECE,7.789254575548091
Female,PhD,CHD,8.40259163173026
Male,B.Tech,CSE,6.375363022070969
Female,MS,CSE,8.154968671456189
Female,B.Tech,CSE,5.9919209934752455
Male,B.Tech,ECE,5.250309534132669
Male,B.Tech,CSE,9.193231356820622
Male,B.Tech,ECE,7.509407191161567
Male,B.Tech,ECE,6.077540801711548
Male,MS,ECE,8.724079809057987
Female,B.Tech,ECE,7.63324791431276
Male,MS,CHD,7.859515671446036
Male,B.Tech,ECE,8.816369079027234
Male,MS,CSE,7.779051398264852
Female,B.Tech,CHD,6.911070302599417
Male,B.Tech,CSE,7.298852877720364
Male,B.Tech,ECE,6.731463872722857
Male,B.Tech,ECE,4.793378740934746
Male,MS,CSE,8.896520080002569
Female,B.Tech,ECE,5.719047751450302
Male,B.Tech,ECE,7.103228780306974
Female,B.Tech,ECE,7.1511179260401
Male,MS,ECE,7.128592635699394
Female,B.Tech,CSE,7.5298507280376406
Male,B.Tech,CSE,7.452123379737113
Female,B.Tech,ECE,6.476660034247777
Male,MS,CND,6.961623028126345
Male,MS,ECE,7.442742199994653
Male,B.Tech,CHD,7.7567253671922085
Male,MS,CND,7.45882516533933
Male,PhD,CND,8.722342798974687
Male,B.Tech,CSE,7.839259379242888
Female,B.Tech,ECE,6.852375223764839
Male,B.Tech,ECE,4.706308463190058
Male,B.Tech,CSE,7.729873590574965
Male,B.Tech,CHD,8.020652909603873
Female,B.Tech,ECE,7.653219230352378
Female,PhD,ECE,7.502680215674628
Male,MS,ECE,6.483045991750375
Female,B.Tech,ECE,4.8798822886408875
Male,B.Tech,CHD,7.122206881406801
Male,B.Tech,CSE,5.134691986257254
Male,MS,CSE,6.967501431868398
Male,B.Tech,ECE,8.229170716654632
Male,PhD,CHD,7.5927628396607005
Male,MS,ECE,7.3739392112526
Male,MS,CSE,7.06883332632217
Female,B.Tech,CSE,6.167358168134677
Female,B.Tech,CSE,6.12782636292178
Male,B.Tech,CSE,5.573078616666487
Female,B.Tech,ECE,7.149423541931
Female,B.Tech,CSE,7.646164967407292
Male,B.Tech,ECE,7.1130536968290965
Female,MS,ECE,8.813301992054386
Male,B.Tech,CSE,7.764554832004988
Male,B.Tech,ECE,7.098790132125764
Male,PhD,CHD,7.859915189598144
Male,MS,CHD,7.320531794647502
Male,B.Tech,CSE,8.030019827329614
Female,PhD,CHD,7.054182586410039
Male,B.Tech,CSE,6.70242013433318
Male,B.Tech,CND,5.980320245082737
Male,B.Tech,CSE,8.910133620746512
Male,B.Tech,ECE,7.129952863048661
Male,PhD,CSE,8.102995588534585
Male,B.Tech,ECE,7.7489941774870275
Male,B.Tech,ECE,7.776091244779343
Other,B.Tech,ECE,6.987950693269459
Other,B.Tech,CSE,8.108766737084522
Female,B.Tech,CSE,7.138128040655688
Male,B.Tech,ECE,7.995058431318554
Female,B.Tech,ECE,7.1875805733277245
Female,B.Tech,CSE,6.563423688066714
Female,B.Tech,CSE,6.396450409878721
Male,B.Tech,CND,6.231744886800202
Male,MS,CND,7.343571726993738
Male,MS,CSE,9.329840564790057
Male,B.Tech,CSE,6.848744610280418
Male,B.Tech,ECE,6.655916453296954
Male,B.Tech,ECE,6.139456524738716
Female,MS,ECE,9.138459426340255
Female,B.Tech,ECE,7.870601182798364
Female,B.Tech,ECE,7.166568173721332
Female,B.Tech,CSE,7.7170125237339775
Male,MS,CSE,7.556696733630133
Male,B.Tech,CSE,7.249622048628765
Male,B.Tech,CSE,6.982031705350018
Male,B.Tech,CSE,8.638774727252352
Male,MS,ECE,8.497943722780692
Male,B.Tech,CSE,6.275978363652614
Male,B.Tech,ECE,6.522275180722631
Female,B.Tech,CSE,5.722708411784998
Male,B.Tech,CSE,7.70506259819081
Male,B.Tech,ECE,7.834791218112036
Male,MS,ECE,8.382373101449481
Male,B.Tech,CHD,5.605782802113349
Male,B.Tech,CSE,5.994899106133586
Male,B.Tech,CSE,9.677825601100913
Male,B.Tech,CND,5.913617809838202
Male,MS,CND,8.423735880559198
Female,B.Tech,ECE,7.047052291733014
Female,B.Tech,ECE,6.963230596315977
Male,MS,CHD,7.6355434919264145
Female,B.Tech,CSE,7.937962245336629
Male,B.Tech,ECE,9.054405743129056
Male,B.Tech,ECE,7.408888496171034
Male,B.Tech,CHD,6.686584140571653
Male,B.Tech,ECE,7.178323307379274
Female,B.Tech,CND,6.135229489947292
Male,B.Tech,ECE,6.857265605532792
Male,B.Tech,CHD,7.26417444467075
Male,B.Tech,ECE,8.054225550448198
Male,B.Tech,CSE,4.923370184382454
Male,PhD,CHD,8.515789820079721
Male,B.Tech,ECE,6.473587662332932
Male,MS,CHD,8.163709934971994
Female,B.Tech,ECE,6.7296634156942705
Male,B.Tech,ECE,6.697609514261962
Male,MS,CND,6.452594037983101
Female,PhD,ECE,8.10224926279486
Male,B.Tech,ECE,7.17652280666777
Male,PhD,CSE,8.425263281063309
Female,B.Tech,ECE,8.232213201085916
Male,B.Tech,ECE,8.692747740995584
Male,B.Tech,CSE,6.912094203448342
Male,B.Tech,CSE,5.000464248831308
Male,B.Tech,ECE,6.449732229975924
Male,B.Tech,ECE,7.230447181744992
Male,B.Tech,ECE,8.234813205795437
Male,B.Tech,CSE,5.912379322063927
Female,B.Tech,CSE,7.897708179710856
Male,B.Tech,CSE,8.931772453073311
Female,MS,CND,7.267208913892997
Male,B.Tech,ECE,6.994898616506178
Female,B.Tech,ECE,7.227094269075308
Female,PhD,ECE,8.307762574374257
Male,MS,CND,8.388866456735741
Male,B.Tech,CND,7.124377226718572
Male,B.Tech,ECE,8.821722129683463
Male,MS,CSE,9.062359214521516
Male,MS,ECE,9.129354687705275
Male,PhD,CHD,8.406208068247352
Male,MS,CSE,7.351039227659334
Male,B.Tech,CSE,7.319052786745472
Male,B.Tech,CSE,7.16907206736625
Female,PhD,CSE,8.473010196637652
Male,B.Tech,CSE,6.434221896235215
Male,B.Tech,ECE,7.607592460397564
Male,B.Tech,CHD,5.8249239118370255
Male,B.Tech,ECE,7.327696259115335
Female,B.Tech,CSE,8.147622921672824
Male,B.Tech,ECE,6.005343671722417
Male,MS,CHD,9.0289134399765
Male,B.Tech,CSE,7.209497858271571
Male,B.Tech,CSE,5.884965868014259
Male,B.Tech,CHD,7.822577216908378
Male,MS,CSE,7.49150729809042
Female,B.Tech,ECE,6.685515377576081
Male,B.Tech,CSE,6.520297038630426
Male,B.Tech,CSE,7.253871307806878
Male,PhD,CSE,8.131544060080506
Male,MS,CSE,6.367649499305882
Male,B.Tech,ECE,6.309897376462711
Male,MS,CND,8.321863945956528
Female,MS,CSE,7.857918541312307
Female,B.Tech,CSE,6.328532109216551
Male,B.Tech,CSE,7.235428544024919
Male,B.Tech,CSE,7.987813897220186
Male,B.Tech,ECE,7.794952271674905
Male,B.Tech,CSE,6.563760345127967
Male,PhD,CND,8.10192518405667
Male,B.Tech,CHD,6.668753342425806
Male,B.Tech,ECE,8.362693049604877
Male,B.Tech,CSE,6.374128209036309
Male,B.Tech,CSE,7.53289475081324
Other,B.Tech,CND,6.511771291975564
Male,B.Tech,CND,7.482050713091714
Female,B.Tech,CND,7.311021129414306
Female,PhD,ECE,8.423332283176876
Female,B.Tech,ECE,7.5175523543143665
Female,B.Tech,CSE,5.061930017240633
Male,B.Tech,ECE,7.910280100036149
Female,PhD,CHD,8.505853078549087
Male,B.Tech,CSE,7.419583437272796
Female,MS,ECE,8.707783516071602
Male,MS,CSE,7.366295026728091
Female,MS,CHD,8.249378393266301
Male,MS,CSE,9.592946691858675
Male,MS,ECE,8.089192596761851
Male,B.Tech,CSE,6.048071297246892
Female,B.Tech,ECE,7.2415068307097785
Male,B.Tech,ECE,7.556524638800191
Female,B.Tech,CSE,8.36074557813183
Female,MS,CND,7.78982595925501
Male,MS,ECE,7.731725231494801
Male,B.Tech,CSE,8.582928825649962
Male,PhD,ECE,8.384057275727292
Male,B.Tech,ECE,8.46923533600599
Male,B.Tech,CSE,5.570239417996256
Female,MS,CHD,7.15408737826793
Male,MS,CND,8.488257556640063
Female,B.Tech,ECE,5.236355213817756
Female,B.Tech,CSE,7.178152423896771
Male,B.Tech,CSE,8.220120177978279
Male,B.Tech,ECE,6.619634091739585
Male,MS,ECE,8.10621716422376
Male,B.Tech,CHD,5.471112454608613
Male,B.Tech,ECE,6.912054441251503
Male,MS,CHD,8.186899573836163
Male,B.Tech,ECE,6.282144277610788
Male,B.Tech,CSE,8.564456996567314
Male,B.Tech,CSE,8.40409727205051
Male,B.Tech,CHD,6.537277931204566
Male,B.Tech,ECE,7.862242869962597
Male,MS,CND,7.406526909347945
Male,PhD,ECE,7.676598190586922
Male,B.Tech,ECE,8.74540676313543
Female,B.Tech,CSE,6.708130690765633
Male,B.Tech,ECE,7.534661612616845
Female,B.Tech,CSE,9.625896038258663
Female,B.Tech,CSE,5.509520730627548
Male,B.Tech,CSE,6.088222367790688
Male,MS,CHD,8.847215054555383
Male,B.Tech,ECE,7.498032583557906
Male,B.Tech,CSE,7.13298304297822
Male,B.Tech,ECE,6.992380728070467
Male,MS,CSE,8.795015884574784
Female,MS,ECE,6.647231934706742
Female,B.Tech,CND,5.416864006368178
Female,B.Tech,CSE,5.508392151003228
Male,B.Tech,CSE,7.827927562700063
Female,PhD,CSE,8.002082249754569
Female,B.Tech,CND,7.091036305068437
Male,B.Tech,CSE,7.590122761032077
Male,PhD,CND,8.442919797567223
Female,B.Tech,ECE,6.40560487375324
Male,B.Tech,ECE,7.0460827488683355
Male,MS,CHD,8.07721162074224
Male,MS,ECE,6.584912796358671
Male,MS,ECE,8.649416489500496
Female,B.Tech,ECE,7.5891452060264415
Male,B.Tech,ECE,6.137375176007491
Female,MS,ECE,8.301009306835063
Male,B.Tech,ECE,7.129977035201623
Female,B.Tech,CSE,5.858663680294692
Other,B.Tech,ECE,5.085812135794564
Male,B.Tech,CSE,8.418303667143476
Male,B.Tech,CSE,6.9846694703152785
Male,B.Tech,ECE,7.416887284319083
Male,B.Tech,CSE,6.108585010695345
Male,MS,CSE,8.274280422457013
Female,MS,ECE,7.608952432902915
Male,B.Tech,ECE,7.396614427238916
Male,B.Tech,CSE,7.521788744499716
Male,B.Tech,ECE,7.580576097582337
Female,B.Tech,CND,5.5445182470553505
Male,B.Tech,CSE,5.161636045188457
Female,B.Tech,CSE,8.42798368971452
Female,B.Tech,ECE,7.534781658946509
Male,PhD,CHD,7.003594411967112
Male,B.Tech,CSE,7.41081786845098
Male,B.Tech,CSE,8.111746135475983
Male,PhD,CND,7.439447439257086
Female,B.Tech,CSE,6.811261915012937
Male,PhD,CND,8.570935386498611
Male,B.Tech,ECE,6.741193368126235
Male,B.Tech,CSE,6.976997808228059
Female,B.Tech,CSE,5.05536209134322
Male,B.Tech,ECE,8.095215855026844
Male,B.Tech,ECE,7.462744440656465
Female,B.Tech,ECE,5.311435550113571
Male,B.Tech,CSE,6.019860768040724
Female,B.Tech,CSE,7.712091604889617
Male,B.Tech,ECE,6.670060133137777
Female,B.Tech,CSE,7.444428791904857
Female,B.Tech,ECE,6.743869730904596
Male,B.Tech,CSE,5.795368655207348
Female,B.Tech,ECE,6.72069893202716
Male,B.Tech,CSE,6.035987160795524
Female,MS,ECE,9.480403948112926
Male,B.Tech,CSE,7.799648581978914
Male,MS,ECE,6.627593935846633
Male,B.Tech,CND,8.64844494891456
Male,B.Tech,CSE,7.185859096026388
Male,B.Tech,ECE,7.728648051720538
Male,MS,ECE,7.721072942888749
Male,B.Tech,CSE,5.392057123686093
Female,B.Tech,CSE,6.772536240674474
Female,B.Tech,CSE,7.865655797826367
Male,MS,CSE,7.841685672974692
Male,B.Tech,CHD,6.516531747051742
Female,MS,CHD,7.061907740817075
Female,B.Tech,ECE,8.508984713664907
Male,B.Tech,ECE,9.11438305538551
Male,B.Tech,ECE,6.653585008327749
Male,B.Tech,CSE,5.701759103539021
Female,B.Tech,CSE,8.363212222209881
Female,B.Tech,CSE,7.244186089165018
Male,B.Tech,ECE,9.407090862865045
Male,B.Tech,CHD,8.459671025357732
Female,MS,ECE,7.799387637072622
Male,B.Tech,CSE,7.4944691876016485
Male,B.Tech,CND,6.6889976805233
Male,B.Tech,CSE,6.683183697638304
Male,B.Tech,CSE,6.731512003398616
Male,B.Tech,CSE,5.305581830539302
Male,B.Tech,ECE,4.110357611202602
Female,MS,CND,7.837188188748549
Female,MS,CSE,8.470460841603652
Male,B.Tech,CSE,4.484399117075386
Male,B.Tech,ECE,6.310723261972438
Male,B.Tech,ECE,8.202001899949089
Female,B.Tech,ECE,7.964838878174798
Female,B.Tech,ECE,7.440433029744884
Male,PhD,ECE,8.744808917690694
Male,MS,CHD,9.265036256243805
Male,B.Tech,CSE,7.181501332246249
Female,B.Tech,CND,6.167013204475924
Male,B.Tech,ECE,7.352237141730644
Male,B.Tech,ECE,5.665972578932053
Female,B.Tech,CSE,5.981176694146009
Male,B.Tech,CSE,6.42404117923726
Female,PhD,ECE,8.170359289320785
Female,B.Tech,CSE,7.019510982658608
Male,MS,CSE,6.383547855396731
Female,B.Tech,CSE,6.62886274209651
Male,MS,CSE,8.424555872826838
Female,MS,CND,7.702955170833393
Male,B.Tech,ECE,6.408801384900697
Male,PhD,CND,7.891920438224942
Male,B.Tech,CSE,8.125038902922224
Male,B.Tech,CSE,6.101839235935938
Male,B.Tech,ECE,7.5545222653335005
Female,B.Tech,ECE,7.263359574739955
Female,B.Tech,CND,7.578135741202589
Female,B.Tech,CHD,7.842911135771624
Male,B.Tech,ECE,7.172237900216227
Female,MS,ECE,8.574311967205329
Male,B.Tech,ECE,7.519398922705305
Male,B.Tech,CSE,7.646880915090499
Male,B.Tech,CSE,8.607475729973446
Male,PhD,CND,8.40075845397845
Other,PhD,CHD,7.982772477252396
Male,B.Tech,ECE,6.258468294361092
Male,B.Tech,CHD,6.347628701095921
Male,B.Tech,CSE,5.908208573968258
Male,MS,ECE,6.402469979626893
Male,B.Tech,CND,8.908425627088077
Female,B.Tech,CHD,6.908912825135052
Female,B.Tech,CHD,5.371255781714845
Female,B.Tech,CSE,5.770033317804248
Female,MS,CSE,8.041675901449112
Male,B.Tech,ECE,6.095662692089725
Male,B.Tech,CSE,7.270345457648542
Male,MS,CHD,7.825610121389599
Male,B.Tech,CHD,7.600845312201091
Other,B.Tech,CSE,7.10959522931935
Male,B.Tech,ECE,5.433964306799007
Male,B.Tech,ECE,7.089451912925152
Male,MS,CND,8.009859231486214
Male,B.Tech,ECE,7.064138364232861
Male,MS,ECE,7.829433470955684
Male,B.Tech,CND,7.60341393459219
Female,MS,CSE,8.043446141542601
Male,PhD,CSE,8.385308562462752
Male,MS,CND,7.175586720068139
Female,MS,CND,7.461536816151263
Female,MS,CND,8.610163480355238
Male,B.Tech,CSE,5.984536626651227
Male,B.Tech,ECE,8.256949103071138
Female,B.Tech,ECE,6.7693170837438545
Male,PhD,CSE,8.138858270916783
Female,B.Tech,ECE,7.677929198356189
Male,B.Tech,ECE,7.133149659333724
Female,PhD,CND,8.37701266772512
Male,PhD,ECE,7.912272681401503
Female,B.Tech,ECE,6.793915546265277
Male,B.Tech,ECE,7.5815644378389075
Male,B.Tech,CSE,8.928017760692951
Male,B.Tech,CSE,6.1537797391061035
Male,B.Tech,CSE,6.92436586752316
Female,B.Tech,CSE,6.805441567045094
Female,B.Tech,CSE,6.489749092481266
Male,MS,CND,8.103300324104817
Male,PhD,ECE,8.349534786977468
Male,MS,ECE,7.635100674945289
Male,B.Tech,CSE,8.155379351207102
Male,B.Tech,ECE,5.877421129195234
Male,B.Tech,CSE,5.490710318483421
Male,PhD,CSE,8.6152183038199
Male,PhD,CND,8.173128022715153
Female,MS,CND,8.13717241606622
Male,B.Tech,CHD,6.333889335859026
Male,B.Tech,CSE,7.155142483318907
Female,MS,CSE,7.710017266331823
Female,B.Tech,ECE,6.307980375588943
Male,B.Tech,CSE,8.366606277113604
Male,B.Tech,ECE,7.065279620902688
Male,B.Tech,CSE,7.16180901419926
Male,MS,CHD,9.31382288306578
Male,B.Tech,ECE,8.52519481745064
Male,B.Tech,ECE,5.528205989302234
Female,MS,CSE,8.455434564117082
Female,PhD,CSE,9.028090814825703
Male,MS,CSE,6.576979699040025
Male,MS,CSE,7.349904482171117
Male,MS,ECE,9.670099290079136
Male,B.Tech,CND,5.2827287989297425
Male,B.Tech,CSE,7.889421219517
Male,B.Tech,CHD,5.9626133731764694
Male,B.Tech,CND,6.041070085110361
Male,B.Tech,CSE,6.319414155189801
Male,B.Tech,CHD,6.808083565404521
Female,MS,ECE,8.163574986116185
Male,B.Tech,ECE,8.125561382951155
Male,B.Tech,CSE,6.29926350487457
Male,MS,ECE,8.039852723841854
Female,B.Tech,CSE,5.996942044763829
Female,B.Tech,CHD,8.047662842567936
Female,B.Tech,CHD,7.231594620812609
Male,B.Tech,CND,5.351548789088438
Male,MS,CND,9.214930361464067
Male,B.Tech,CHD,7.064351740166087
Female,B.Tech,CSE,5.890301060087205
Other,B.Tech,CSE,6.625061113672034
Male,B.Tech,CSE,6.999478780075756
Female,B.Tech,CND,6.9249102391553565
Male,MS,CHD,9.167481108761056
Male,PhD,CSE,8.49799240010422
Female,B.Tech,CSE,7.265468727437598
Male,MS,CHD,8.256530711343807
Male,B.Tech,ECE,8.022586888753615
Female,B.Tech,CHD,7.401622693106076
Male,B.Tech,CHD,5.7150884868491865
Male,MS,ECE,7.36464580717332
Male,B.Tech,ECE,5.536277326269953
Male,B.Tech,CHD,7.215226482461469
Male,B.Tech,CSE,6.830460497690498
Male,PhD,CND,7.986421759256446
Female,B.Tech,CND,7.072470011088973
Male,B.Tech,CSE,8.574037840957239
Male,PhD,CSE,8.143045554839237
Female,MS,CSE,7.2234790986344155
Female,B.Tech,CSE,5.728091194336851
Male,B.Tech,ECE,6.564914264640486
Male,B.Tech,ECE,6.953719415584288
Male,B.Tech,ECE,7.026210072516307
Male,B.Tech,CSE,7.495774074611759
Male,B.Tech,ECE,7.695576616726665
Male,B.Tech,CSE,5.447439445511252
Male,B.Tech,ECE,9.319074857743496
Male,PhD,CND,8.447684088788597
Male,PhD,CND,7.938613865319877
Male,B.Tech,ECE,6.134813934716876
Female,MS,CSE,8.776588648971147
Female,B.Tech,ECE,7.93720117351251
Male,B.Tech,CND,7.094105702180044
Male,MS,CHD,7.387982132833619
Other,B.Tech,CHD,6.989188324570854
Male,B.Tech,ECE,6.895265976150269
Male,B.Tech,ECE,6.345773016208728
Male,PhD,CSE,7.636981936157815
Male,MS,ECE,7.259786659813248
Other,B.Tech,CSE,5.599407952491863
Male,MS,CSE,7.887618674440312
Male,B.Tech,CSE,6.438977164340937
Male,B.Tech,CSE,7.765828321200062
Male,MS,CSE,7.94709806522721
Female,B.Tech,ECE,6.957043512291872
Male,B.Tech,CSE,6.288654610192613
Male,PhD,ECE,7.296429874261881
Female,B.Tech,ECE,7.460036817169858
Female,B.Tech,CSE,8.372186175170063
Male,MS,CSE,8.25281295203253
Female,B.Tech,CSE,6.0476009317234
Male,B.Tech,CSE,8.033837298242425
Female,B.Tech,CSE,6.0217036678266
Female,B.Tech,CSE,6.282916478958963
Male,B.Tech,ECE,4.553573326933972
Male,PhD,CHD,8.179186709486354
Male,MS,CSE,7.63731538974112
Male,MS,ECE,8.08752419977635
Male,MS,ECE,8.45297655290538
Female,B.Tech,CSE,8.073107617701545
Female,B.Tech,CSE,6.349225237607923
Male,B.Tech,CHD,6.998389728671744
Male,B.Tech,ECE,6.455454785011098
Female,PhD,ECE,8.387647814050815
Male,B.Tech,CSE,6.936214299060983
Male,MS,CND,8.186964238932232
